Name,RelativePath,DVFS,Note,ContentSubcategory,Timeout,Core_Atom,Core_Big,Core_KL
DH28-1Aught-B7AY-1C10000F,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-1Charyb-BMG-1C1000F1,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-1Charyb-BFX-1C1000F2,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
DH28-1Charyb-BFY-1C1000F3,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-1DittoC-GX-1C100113,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-1Eclipse-1C100123,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-1FireC-Y-1C100124,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
DH28-1FireC-X-1C100125,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
DH28-1Fissure-M-1C100135,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-1FrenzyC-Y-1C100182,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-1FrenzyC-X-1C100181,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
DH28-1FRMC-Y-1C1001BF,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-1Geode-RF-1C1001CF,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-1LeekC-Y-1C1001E0,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-1LeekC-X-1C1001DF,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Aes-DY-1C100000,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-X1J-1C100010,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Blender-Y1J-1C100011,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-A1J-1C100012,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
